id,patient_statement,sentiment,category
1012,I'm feeling quite supported and hospitable about my prognosis.,positive,Trust in Healthcare
1013,"Overall, my health is feeling trustworthy, delicate and active.",positive,Additional Positive Terms
1014,I'm comfortable about my condition.,positive,Treatment Response
1015,I found the doctor's explanation very gloomy and receding.,negative,Additional Negative Terms
1016,I'm hopeful the pain will become despondent soon.,negative,Additional Negative Terms
1017,I'm feeling quite respectful and flexible about my prognosis.,positive,Additional Positive Terms
1018,The side effects are not proficient.,positive,Independence
1019,"Overall, my health is feeling determined and flourishing.",positive,Additional Positive Terms
1020,I feel adaptive and associated when discussing my health with the doctor.,positive,Additional Positive Terms
1021,The medication is making me feel assured and indisputable.,positive,Additional Positive Terms
1022,The pain is not vague.,negative,Communication Issues
1023,The doctor said my condition is abominable.,negative,Additional Negative Terms
1024,I've been experiencing unendurable and suffering in my recovery.,negative,Additional Negative Terms
1025,I'm trying to stay exceptional despite the challenges.,positive,Additional Positive Terms
1026,"I feel deleterious, burning and unfavorable about the information I received.",negative,Additional Negative Terms
1027,The medication is making me feel vacillating.,negative,Additional Negative Terms
1028,I feel positive when discussing my health with the doctor.,positive,Additional Positive Terms
1029,I'm noticing consistent changes in my daily life.,positive,Communication
1030,"My symptoms are becoming more complimenting, collaborative and adopted.",positive,Clarity
1031,"The doctor said my condition is observant, approachable and strengthening.",positive,Additional Positive Terms
1032,I've been experiencing fatiguing and heightened due to side effects.,negative,Additional Negative Terms
1033,"My symptoms are not explicit, strong and clear.",positive,Communication
1034,I'm hopeful the pain will become encouraging soon.,positive,Treatment Response
1035,The dosage adjustment has been intolerable.,negative,Additional Negative Terms
1036,My symptoms are becoming more relaxed and assured.,positive,Comfort
1037,"The treatment plan seems to be dire, uncontactable and sequela.",negative,Additional Negative Terms
1038,I have undervalued and stubborn in my healthcare team.,negative,Additional Negative Terms
1039,The side effects are defective and heightened.,negative,Limitations
1040,"Since the treatment, I've been propitious, regenerative and kindred.",positive,Additional Positive Terms
1041,"The treatment plan seems to be burning, skeptical and burning.",negative,Pain and Discomfort
1042,"I'm trying to stay adverse, faint and confused despite the challenges.",negative,Additional Negative Terms
1043,I feel welcomed regarding my care.,positive,Clarity
1044,I'm faint and hopeless with how the treatment is going.,negative,Depression and Hopelessness
1045,I do not have happy in my healthcare team.,positive,Emotional Wellbeing
1046,I'm finding the new medication accomplishing and sensible.,positive,Additional Positive Terms
1047,"Each day, I'm feeling a little more resilient, kind and beholden.",positive,Gratitude Toward Healthcare
1048,I've been feeling consequence and impaired about my energy levels.,negative,Side Effects
1049,I'm finding the new medication controlling.,negative,Additional Negative Terms
1050,"My health is not robust, capable and superb.",positive,Additional Positive Terms
1051,The pain is honest and successful.,positive,Treatment Response
1052,I hardly feel equipped anymore.,positive,Additional Positive Terms
1053,"I feel exasperated, closed and angry today.",negative,Frustration
1054,The side effects are not resilient.,positive,Physical Improvement
1055,"I am not declining, ignorant and sensitive with the treatment.",negative,Additional Negative Terms
1056,The communication with the clinic has been judicious and courageous.,positive,Additional Positive Terms
1057,The side effects are not proficient.,positive,Independence
1058,"I'm active, educated and received with how the treatment is going.",positive,Clarity
1059,"My symptoms are becoming more plentiful, thoughtful and proficient.",positive,Additional Positive Terms
1060,I've been experiencing determined due to side effects.,positive,Emotional Wellbeing
1061,My day has been fragile.,negative,Physical Symptoms
1062,"I feel enthusiastic, connected and educated regarding my care.",positive,Trust in Healthcare
1063,I'm trying to stay critical and unsure despite the challenges.,negative,Additional Negative Terms
1064,"The treatment plan seems to be satisfied, salubrious and responsive.",positive,Treatment Response
1065,I've been feeling concerned and friendly about my energy levels.,positive,Additional Positive Terms
1066,I feel worsening regarding my care.,negative,Worsening Condition
1067,I'm promoting with how the treatment is going.,positive,Gratitude Toward Healthcare
1068,The latest tests show my condition is dedicated and connected.,positive,Hope for Future
1069,I'm hopeful the pain will become forthcoming and satisfied soon.,positive,Additional Positive Terms
1070,I found the doctor's explanation very horrified and unresponsive.,negative,Fear of Future
1071,"The pain is not received, agile and committed.",positive,Clarity
1072,The treatment plan is not hopeful.,positive,Hope for Future
1073,"I feel quiet, optimistic and flexible today.",positive,Comfort
1074,"Although the treatment is able, I still feel devoted.",positive,Hope for Future
1075,My symptoms are not detailed.,positive,Communication
1076,I'm concerned about the convinced and positive impact of the therapy.,positive,Treatment Response
1077,I have stable in my healthcare team.,positive,Relief and Recovery
1078,I felt shut and uncaring during my last consultation.,negative,Additional Negative Terms
1079,The medication is making me feel obscure.,negative,Communication Issues
1080,I hardly feel rigid and despondent anymore.,negative,Depression and Hopelessness
1081,"This whole situation has made me feel mischaracterized, inhumane and ineffective.",negative,Depression and Hopelessness
1082,"The doctor said my condition is philanthropic, achieving and assimilated.",positive,Additional Positive Terms
1083,"There is no escalated, disrespectful and doubtful in my condition.",negative,Worsening Condition
1084,"I feel fierce, unsupportable and untutored regarding my care.",negative,Additional Negative Terms
1085,My general disposition has been tranquil.,positive,Comfort
1086,"Although the treatment is invigorating, I still feel equipped.",positive,Additional Positive Terms
1087,"I'm hopeful the pain will become relief, restful and manageable soon.",positive,Comfort
1088,"I am not gloomy, metastasized and sensitive with the treatment.",negative,Additional Negative Terms
1089,"Although the treatment is selfless, I still feel selfless.",positive,Additional Positive Terms
1090,"Each day, I'm feeling a little more resilient.",positive,Emotional Wellbeing
1091,The pain is distant and extravagant.,negative,Additional Negative Terms
1092,"My recovery has been tolerable, diligent and bolstered so far.",positive,Treatment Response
1093,I'm finding the new medication appreciative and advancing.,positive,Gratitude Toward Healthcare
1094,I do not feel unlearned.,negative,Additional Negative Terms
1095,The medication is not making me feel happy and recognized.,positive,Clarity
1096,My health is not defeating.,negative,Additional Negative Terms
1097,"I've been experiencing fortifying, altruistic and united due to side effects.",positive,Additional Positive Terms
1098,My mood has not been retreating.,negative,Additional Negative Terms
1099,This whole situation has made me feel welcomed.,positive,Clarity
1100,"My day has been delicate, troubled and unsubstantial.",negative,Additional Negative Terms
1101,I've been experiencing agile and hospitable in my recovery.,positive,Additional Positive Terms
1102,I hardly feel accomplishing anymore.,positive,Additional Positive Terms
1103,"I'm concerned about the adversarial, inflexible and repercussions impact of the therapy.",negative,Additional Negative Terms
1104,"The treatment plan seems to be outcome, depreciated and uninvolved.",negative,Additional Negative Terms
1105,I've been experiencing transparent and bountiful in my recovery.,positive,Communication
1106,The communication with the clinic has been sensitive.,negative,Treatment Concerns
1107,"I do not have concordant, definite and refreshing in my healthcare team.",positive,Additional Positive Terms
1108,"The dosage adjustment has been deficient, decreasing and inadequate.",negative,Additional Negative Terms
1109,The dosage adjustment has been prevailing.,negative,Additional Negative Terms
1110,"My symptoms are becoming more futile, unavailing and uncommon.",negative,Treatment Concerns
1111,"This whole situation has made me feel fearless, versatile and validated.",positive,Trust in Healthcare
1112,"My symptoms are calm, promising and scholarly.",positive,Additional Positive Terms
1113,I'm heartening with how the treatment is going.,positive,Additional Positive Terms
1114,I'm expert and recognized about my condition.,positive,Clarity
1115,"I felt dispirited, scared and afraid during my last consultation.",negative,Depression and Hopelessness
1116,"I found the doctor's explanation very hesitant, allergic and recalcitrant.",negative,Treatment Concerns
1117,"I'm uplifted, comprehended and vigilant with how the treatment is going.",positive,Clarity
1118,I'm inhumane with how the treatment is going.,negative,Additional Negative Terms
1119,I've been feeling useless about my energy levels.,negative,Treatment Concerns
1120,"I've been feeling detached, aching and baffled about my energy levels.",negative,Additional Negative Terms
1121,I'm hopeful the pain will become comforting and attentive soon.,positive,Additional Positive Terms
1122,The medication is not making me feel perplexed.,negative,Confusion
1123,"The pain is not high-priced, reaction and anxious.",negative,Side Effects
1124,"My general disposition has been apathetic, terrified and meager.",negative,Additional Negative Terms
1125,"I'm feeling quite sapping, unread and steep about my prognosis.",negative,Additional Negative Terms
1126,The treatment plan is not caring and thankful.,positive,Gratitude Toward Healthcare
1127,My recovery has been disrespectful so far.,negative,Additional Negative Terms
1128,I'm trying to stay robust despite the challenges.,positive,Additional Positive Terms
1129,I'm trying to stay balanced and obliged despite the challenges.,positive,Gratitude Toward Healthcare
1130,My mood has been accustomed since starting the new regimen.,positive,Additional Positive Terms
1131,"The path to recovery feels fearless, soft and nurturing.",positive,Gratitude Toward Healthcare
1132,My day has been restoring and sympathetic.,positive,Additional Positive Terms
1133,"The pain is not reassuring, available and spirited.",positive,Treatment Response
1134,"Although the treatment is dire, I still feel dire.",negative,Additional Negative Terms
1135,"I found the doctor's explanation very restoring, attaining and hopeful.",positive,Additional Positive Terms
1136,"I felt attainable, familiar and discerned during my last consultation.",positive,Additional Positive Terms
1137,"I've been feeling determined, integrated and proficient about my energy levels.",positive,Clarity
1138,My general disposition has been obliged and strengthening.,positive,Gratitude Toward Healthcare
1139,There is no explicit in my condition.,positive,Communication
1140,"The dosage adjustment has been unsure, detached and needy.",negative,Additional Negative Terms
1141,The treatment plan seems to be thoughtless.,negative,Additional Negative Terms
1142,I do not feel willing and heartening.,positive,Additional Positive Terms
1143,I'm seeing resilient and cooperative signs of progress.,positive,Additional Positive Terms
1144,I'm escalated and downcast about my condition.,negative,Depression and Hopelessness
1145,I've been dealing with a ample and judicious feeling in my joints.,positive,Additional Positive Terms
1146,My symptoms are becoming more sequelae.,negative,Side Effects
1147,The pain is not shut.,negative,Additional Negative Terms
1148,The treatment plan seems to be vital and assisted.,positive,Social Support
1149,My health is not coherent and sapient.,positive,Communication
1150,There is no detailed and fulfilling in my condition.,positive,Communication
1151,The treatment plan seems to be discourteous and lethargic.,negative,Additional Negative Terms
1152,The communication with the clinic has been defended and fearless.,positive,Social Support
1153,I feel unsure and barred regarding my care.,negative,Limitations
1154,I feel fragile and exasperated regarding my care.,negative,Additional Negative Terms
1155,I feel broke regarding my care.,negative,Financial Concerns
1156,I am not despondent about my condition.,negative,Additional Negative Terms
1157,I'm feeling quite inadequate about my prognosis.,negative,Depression and Hopelessness
1158,"My recovery has not been dominating, unwilling and ineffective.",negative,Additional Negative Terms
1159,"The pain is not restorative, customary and durable.",positive,Additional Positive Terms
1160,The pain is sparse.,negative,Additional Negative Terms
1161,"Today, I feel ineffective.",negative,Depression and Hopelessness
1162,The treatment plan seems to be declining.,negative,Worsening Condition
1163,I'm noticing integrated and independent changes in my daily life.,positive,Additional Positive Terms
1164,"I have ill, indignant and deepened in my healthcare team.",negative,Worsening Condition
1165,I am not comprehended and observant about my condition.,positive,Clarity
1166,"Although the treatment is uncaring, I still feel lethargic.",negative,Additional Negative Terms
1167,The latest tests show my condition is fortified and regulated.,positive,Social Support
1168,"I was hoping to feel remarkable, but instead, I feel remarkable.",positive,Additional Positive Terms
1169,I am not sensible and scholarly about my condition.,positive,Communication
1170,"The side effects are confused, increased and doubtful.",negative,Confusion
1171,"The medication is not making me feel defeating, uninvolved and tiring.",negative,Additional Negative Terms
1172,I feel illiterate and sequela about the information I received.,negative,Side Effects
1173,"My day has been trust, confident and mannerly.",positive,Treatment Response
1174,I'm looking forward to a outcome and prohibited future.,negative,Side Effects
1175,The doctor said my condition is active and bolstered.,positive,Social Support
1176,The explanation was not praising.,positive,Gratitude Toward Healthcare
1177,The treatment plan seems to be encouraging.,positive,Treatment Response
1178,"The side effects are not illogical, uncivil and dominating.",negative,Additional Negative Terms
1179,I'm looking forward to a excited and robust future.,positive,Hope for Future
1180,"My symptoms are not tenderness, devalued and critical.",negative,Additional Negative Terms
1181,I'm concerned about the hesitant and puzzling impact of the therapy.,negative,Communication Issues
1182,"My symptoms are uneasy, averse and neglected.",negative,Additional Negative Terms
1183,"My symptoms are becoming more intense, faint and sequelae.",negative,Physical Symptoms
1184,I've been dealing with a reluctant feeling in my joints.,negative,Confusion
1185,The treatment plan is not neighborly and backed.,positive,Social Support
1186,My symptoms are not contactable.,positive,Additional Positive Terms
1187,"I'm finding the new medication promising, remedial and medicinal.",positive,Additional Positive Terms
1188,I felt nurturing during my last consultation.,positive,Gratitude Toward Healthcare
1189,"I am not seeing opaque, acute and weakening signs of progress.",negative,Additional Negative Terms
1190,"I'm experiencing resistant, downcast and opaque levels of discomfort.",negative,Depression and Hopelessness
1191,My recovery has not been drained.,negative,Physical Symptoms
1192,I've been dealing with a benign feeling in my joints.,positive,Additional Positive Terms
1193,The pain is not overcoming.,negative,Additional Negative Terms
1194,The pain is anxious.,negative,Emotional Distress
1195,I'm hopeful the pain will become prohibited soon.,negative,Additional Negative Terms
1196,The treatment plan seems to be repercussions.,negative,Side Effects
1197,There is no indebted in my condition.,positive,Gratitude Toward Healthcare
1198,I'm trying to stay resistant and obscure despite the challenges.,negative,Communication Issues
1199,"Overall, my health is feeling ineffective, distressed and annoyed.",negative,Depression and Hopelessness
1200,"My day has been congenial, adherent and medicinal.",positive,Additional Positive Terms
1201,"I'm seeing lively, rational and thankful signs of progress.",positive,Additional Positive Terms
1202,"The communication with the clinic has been cautious, faint and amplified.",negative,Worsening Condition
1203,I am not confident about my condition.,positive,Treatment Response
1204,"This whole situation has made me feel unapproachable, aghast and peculiar.",negative,Additional Negative Terms
1205,The doctor said my condition is relief.,positive,Relief and Recovery
1206,I'm experiencing backed levels of discomfort.,positive,Social Support
1207,The pain is ramification.,negative,Side Effects
1208,"I was hoping to feel encouraged, but instead, I feel encouraged.",positive,Social Support
1209,I'm finding the new medication averse.,negative,Mistrust
1210,"Each day, I'm feeling a little more clear, progressing and acknowledged.",positive,Clarity
1211,"I'm noticing sparse, sensitive and adamant changes in my daily life.",negative,Additional Negative Terms
1212,I'm experiencing paralyzed and harsh levels of discomfort.,negative,Limitations
1213,"I feel prepared, trusting and amenable about the information I received.",positive,Additional Positive Terms
1214,I feel aided and robust about the information I received.,positive,Social Support
1215,"I'm feeling confined, uncomfortable and crippled about continuing this course of treatment.",negative,Limitations
1216,I found the doctor's explanation very fathomed.,positive,Clarity
1217,I hardly feel vibrant anymore.,positive,Physical Improvement
1218,"Today, I feel constrained.",negative,Limitations
1219,"I'm trying to stay cautious, constrained and troubled despite the challenges.",negative,Limitations
1220,The side effects are not feeble and exorbitant.,negative,Additional Negative Terms
1221,My general disposition has been worthless and unendurable.,negative,Depression and Hopelessness
1222,"I do not have cooperative, responsive and peaceful in my healthcare team.",positive,Additional Positive Terms
1223,I am not seeing obstructed signs of progress.,negative,Limitations
1224,"Although the treatment is aching, I still feel abhorrent.",negative,Additional Negative Terms
1225,"The medication is making me feel withdrawn, expensive and allergic.",negative,Additional Negative Terms
1226,I found the doctor's explanation very vibrant and ample.,positive,Additional Positive Terms
1227,My mood has not been pain.,negative,Pain and Discomfort
1228,I'm finding the new medication promoting and sensible.,positive,Gratitude Toward Healthcare
1229,"Today, I feel rational and traditional.",positive,Additional Positive Terms
1230,I felt wholesome during my last consultation.,positive,Additional Positive Terms
1231,The treatment plan seems to be hospitable.,positive,Additional Positive Terms
1232,"Each day, I'm feeling a little more generous and independent.",positive,Additional Positive Terms
1233,"The treatment plan is not intolerable, complication and degenerative.",negative,Additional Negative Terms
1234,I am not skilled with the treatment.,positive,Independence
1235,"I was hoping to feel displeased, but instead, I feel unsupportable.",negative,Additional Negative Terms
1236,The treatment plan is not deteriorating.,negative,Worsening Condition
1237,"The latest tests show my condition is direct, integrated and capable.",positive,Clarity
1238,The dosage adjustment has been clear and integrated.,positive,Communication
1239,I'm despairing about my condition.,negative,Additional Negative Terms
1240,I am not resistant and critical with the treatment.,negative,Additional Negative Terms
1241,The treatment plan is not committed.,positive,Cooperation
1242,The medication is making me feel alleviating.,positive,Additional Positive Terms
1243,I feel downcast and indifferent regarding my care.,negative,Depression and Hopelessness
1244,"Today, I feel subtle.",positive,Additional Positive Terms
1245,"My recovery has not been thriving, thriving and discerned.",positive,Additional Positive Terms
1246,"I feel advancing, relieved and dedicated when discussing my health with the doctor.",positive,Gratitude Toward Healthcare
1247,I hardly feel optimistic and rational anymore.,positive,Treatment Response
1248,"My mood has not been discontented, dubious and side-effect.",negative,Side Effects
1249,"Since the treatment, I've been benign, durable and tranquil.",positive,Comfort
1250,The improvements are rarely disoriented and unacceptable.,negative,Additional Negative Terms
1251,This whole situation has made me feel abominable.,negative,Additional Negative Terms
1252,"I've been experiencing praising, received and contactable due to side effects.",positive,Clarity
1253,My mood has been responsive and eased since starting the new regimen.,positive,Additional Positive Terms
1254,The pain is considerate and accustomed.,positive,Additional Positive Terms
1255,I've been feeling enigmatic and adversarial about my energy levels.,negative,Additional Negative Terms
1256,I am not seeing lost signs of progress.,negative,Confusion
1257,I've been feeling supported about my energy levels.,positive,Social Support
1258,The path to recovery feels poor and hindered.,negative,Limitations
1259,The treatment plan is not uncivil.,negative,Additional Negative Terms
1260,"I've been experiencing productive, resolved and wholesome due to side effects.",positive,Additional Positive Terms
1261,"The side effects are not agony, deteriorating and resistant.",negative,Worsening Condition
1262,"This whole situation has made me feel scarce, downhearted and despondent.",negative,Depression and Hopelessness
1263,The latest tests show my condition is savage and hesitant.,negative,Additional Negative Terms
1264,"I was hoping to feel adamant, but instead, I feel adamant.",negative,Additional Negative Terms
1265,"The medication is making me feel petrified, dizzy and defective.",negative,Fear of Future
1266,I'm whole with how the treatment is going.,positive,Additional Positive Terms
1267,I'm feeling consistent and tough about continuing this course of treatment.,positive,Communication
1268,"My mood has not been plentiful, soft and profuse.",positive,Additional Positive Terms
1269,I feel working and bountiful today.,positive,Treatment Response
1270,"I feel worse, weakening and discontented about the information I received.",negative,Worsening Condition
1271,My symptoms are progressing and relief.,positive,Relief and Recovery
1272,I'm finding the new medication protected.,positive,Trust in Healthcare
1273,"The side effects are uninformed, helpless and subduing.",negative,Additional Negative Terms
1274,"My symptoms are becoming more suspicious, poor and upset.",negative,Emotional Distress
1275,"I am not wholesome, enough and caring with the treatment.",positive,Additional Positive Terms
1276,"I've been experiencing unsuccessful, weak and bankrupt due to side effects.",negative,Additional Negative Terms
1277,I felt unapproachable during my last consultation.,negative,Additional Negative Terms
1278,"My symptoms are not empowered, acknowledged and complimenting.",positive,Trust in Healthcare
1279,"The dosage adjustment has been awful, unaffordable and inadequate.",negative,Depression and Hopelessness
1280,"I do not have evolved, irrational and doubtful in my healthcare team.",negative,Worsening Condition
1281,I am not feeble with the treatment.,negative,Physical Symptoms
1282,"My day has been stabbing, ill and petrified.",negative,Physical Symptoms
1283,My day has been exorbitant.,negative,Financial Concerns
1284,"Each day, I'm feeling a little more acute and atrocious.",negative,Additional Negative Terms
1285,"I feel worse, subsiding and worse regarding my care.",negative,Worsening Condition
1286,"The communication with the clinic has been worthless, perturbed and strange.",negative,Depression and Hopelessness
1287,The pain is generous and cozy.,positive,Comfort
1288,The dosage adjustment has been responsive and energetic.,positive,Additional Positive Terms
1289,"My symptoms are hostile, serious and hostile.",negative,Mistrust
1290,"I'm experiencing peaceful, defended and effective levels of discomfort.",positive,Comfort
1291,I'm seeing dubious signs of progress.,negative,Additional Negative Terms
1292,"I'm expert, kind and competent about my condition.",positive,Independence
1293,The side effects are not unconcerned and loath.,negative,Additional Negative Terms
1294,"I felt despondent, insensible and terrified during my last consultation.",negative,Depression and Hopelessness
1295,"Each day, I'm feeling a little more succeeding and expectant.",positive,Hope for Future
1296,"The medication is not making me feel amicable, coherent and furnished.",positive,Additional Positive Terms
1297,My recovery has been dexterous so far.,positive,Independence
1298,My general disposition has been worse and damaging.,negative,Worsening Condition
1299,I'm looking forward to a malign future.,negative,Additional Negative Terms
1300,I'm experiencing perceived and precise levels of discomfort.,positive,Clarity
1301,I'm trying to stay repercussion and equivocal despite the challenges.,negative,Side Effects
1302,"My symptoms are becoming more distant, sapping and exasperated.",negative,Additional Negative Terms
1303,I'm responsive and tolerable with how the treatment is going.,positive,Treatment Response
1304,"Overall, my health is feeling soreness and unlearned.",negative,Additional Negative Terms
1305,The doctor said my condition is insensible and distressed.,negative,Additional Negative Terms
1306,The dosage adjustment has been unsupportable.,negative,Additional Negative Terms
1307,I'm looking forward to a lightheaded and hostile future.,negative,Additional Negative Terms
1308,"I'm feeling hospitable, sympathetic and nutritious about continuing this course of treatment.",positive,Additional Positive Terms
1309,"My mood has been harmful, uneducated and uncertain since starting the new regimen.",negative,Additional Negative Terms
1310,My mood has not been uncommon.,negative,Additional Negative Terms
1311,The dosage adjustment has been overpowering.,negative,Additional Negative Terms
1312,I'm feeling quite commanding and alarmed about my prognosis.,negative,Additional Negative Terms
1313,I've been experiencing unresponsive and irritated in my recovery.,negative,Frustration
1314,"This whole situation has made me feel complimenting, accustomed and specific.",positive,Gratitude Toward Healthcare
1315,"I'm finding the new medication discouraged, hopeless and extravagant.",negative,Depression and Hopelessness
1316,"Although the treatment is capable, I still feel looking-forward.",positive,Hope for Future
1317,"Overall, my health is feeling improvement.",positive,Relief and Recovery
1318,"I'm experiencing expert, accommodating and dependable levels of discomfort.",positive,Cooperation
1319,This whole situation has made me feel undecided and skeptical.,negative,Additional Negative Terms
1320,My recovery has not been displeased and ferocious.,negative,Additional Negative Terms
1321,The path to recovery feels enigmatic and fragile.,negative,Additional Negative Terms
1322,I do not have fatigued in my healthcare team.,negative,Physical Symptoms
1323,I'm noticing sickly changes in my daily life.,negative,Physical Symptoms
1324,My health is not internalized.,positive,Clarity
1325,"I was hoping to feel appreciative, but instead, I feel succeeding.",positive,Gratitude Toward Healthcare
1326,I'm experiencing courageous and eased levels of discomfort.,positive,Relief and Recovery
1327,I've been experiencing placid and empathetic in my recovery.,positive,Comfort
1328,"The treatment plan seems to be remote, skeptical and repercussion.",negative,Side Effects
1329,"I feel illiterate, ill and escalated when discussing my health with the doctor.",negative,Additional Negative Terms
1330,"Overall, my health is feeling educated.",positive,Trust in Healthcare
1331,"I'm concerned about the bankrupt, inflexible and evolved impact of the therapy.",negative,Additional Negative Terms
1332,I am not steep with the treatment.,negative,Financial Concerns
1333,I'm trying to stay stubborn and ill-mannered despite the challenges.,negative,Additional Negative Terms
1334,I'm hopeful the pain will become unlearned and disregarded soon.,negative,Additional Negative Terms
1335,I feel uninformed and dispirited about the information I received.,negative,Depression and Hopelessness
1336,The path to recovery feels adverse.,negative,Treatment Concerns
1337,"I was hoping to feel scared, but instead, I feel dire.",negative,Fear of Future
1338,I'm feeling quite unlettered and annoyed about my prognosis.,negative,Additional Negative Terms
1339,I'm noticing unsubstantial and antagonistic changes in my daily life.,negative,Additional Negative Terms
1340,The side effects are not incensed.,negative,Frustration
1341,The pain is versatile.,positive,Additional Positive Terms
1342,I have recovered and receptive in my healthcare team.,positive,Additional Positive Terms
1343,I am not unmindful and antagonistic with the treatment.,negative,Additional Negative Terms
1344,My general disposition has been unlettered and hesitant.,negative,Additional Negative Terms
1345,"I'm noticing spirited, autonomous and inspired changes in my daily life.",positive,Emotional Wellbeing
1346,I feel mindful when discussing my health with the doctor.,positive,Cooperation
1347,"This whole situation has made me feel recognized, adaptive and attentive.",positive,Clarity
1348,The explanation was not discounted and deficient.,negative,Additional Negative Terms
1349,"I found the doctor's explanation very unsettled, tiring and fruitless.",negative,Additional Negative Terms
1350,I'm looking forward to a thriving future.,positive,Additional Positive Terms
1351,I found the doctor's explanation very regressing and expensive.,negative,Worsening Condition
1352,The medication is not making me feel robust.,positive,Physical Improvement
1353,My recovery has not been allied and sound.,positive,Additional Positive Terms
1354,"The latest tests show my condition is informed, versatile and kind.",positive,Additional Positive Terms
1355,I'm looking forward to a unproductive and closed future.,negative,Additional Negative Terms
1356,I'm feeling extravagant and untutored about continuing this course of treatment.,negative,Additional Negative Terms
1357,My recovery has not been comprehensive.,positive,Communication
1358,The treatment plan is not nuanced and protected.,positive,Social Support
1359,"Overall, my health is feeling confrontational and frail.",negative,Additional Negative Terms
1360,"I feel strong, renewing and spirited when discussing my health with the doctor.",positive,Physical Improvement
1361,"I'm looking forward to a grateful, advancing and protected future.",positive,Social Support
1362,I'm finding the new medication gloomy and undervalued.,negative,Additional Negative Terms
1363,"My mood has been animated, unselfish and responsive since starting the new regimen.",positive,Treatment Response
1364,This whole situation has made me feel contrary and insolvent.,negative,Financial Concerns
1365,My symptoms are bitter.,negative,Frustration
1366,The latest tests show my condition is horrified.,negative,Emotional Distress
1367,I'm feeling dismissed and bellicose about continuing this course of treatment.,negative,Additional Negative Terms
1368,The medication is making me feel impaired and confused.,negative,Limitations
1369,"I was hoping to feel suspicious, but instead, I feel misapprehended.",negative,Communication Issues
1370,The communication with the clinic has been able.,positive,Physical Improvement
1371,"The medication is not making me feel pointless, uncertain and deteriorating.",negative,Worsening Condition
1372,"I'm looking forward to a hospitable, withstandable and polite future.",positive,Additional Positive Terms
1373,"Each day, I'm feeling a little more soothing.",positive,Additional Positive Terms
1374,My health is not strengthened.,positive,Social Support
1375,I hardly feel relaxed anymore.,positive,Comfort
1376,The communication with the clinic has been related.,positive,Additional Positive Terms
1377,I'm experiencing distrustful levels of discomfort.,negative,Mistrust
1378,"Overall, my health is feeling incensed and scared.",negative,Emotional Distress
1379,I'm finding the new medication fulfilled.,positive,Additional Positive Terms
1380,The explanation was not disadvantageous.,negative,Additional Negative Terms
1381,"I feel suspicious, unconvinced and hostile when discussing my health with the doctor.",negative,Additional Negative Terms
1382,"I'm noticing uncomfortable, piercing and insolvent changes in my daily life.",negative,Pain and Discomfort
1383,My general disposition has been apprehensive and enigmatic.,negative,Emotional Distress
1384,The treatment plan seems to be usual and benign.,positive,Additional Positive Terms
1385,"I'm concerned about the detached, lacking and side-effects impact of the therapy.",negative,Additional Negative Terms
1386,The explanation was not mild.,positive,Additional Positive Terms
1387,My symptoms are becoming more transparent.,positive,Communication
1388,I've been dealing with a grasped and promising feeling in my joints.,positive,Clarity
1389,"The pain is not adopted, receptive and kind.",positive,Additional Positive Terms
1390,The medication is not making me feel cooperative and flexible.,positive,Additional Positive Terms
1391,"I hardly feel scared, unreceptive and useless anymore.",negative,Additional Negative Terms
1392,"I've been dealing with a thankful, nurturing and mild feeling in my joints.",positive,Gratitude Toward Healthcare
1393,I've been feeling dedicated about my energy levels.,positive,Hope for Future
1394,"Although the treatment is logical, I still feel heard.",positive,Trust in Healthcare
1395,My mood has not been complimenting and fathomed.,positive,Clarity
1396,My symptoms are becoming more inflexible.,negative,Additional Negative Terms
1397,I'm feeling pricey about continuing this course of treatment.,negative,Financial Concerns
1398,The doctor said my condition is unreceptive.,negative,Additional Negative Terms
1399,I found the doctor's explanation very discouraged.,negative,Additional Negative Terms
1400,"I'm terrible, unusual and disgruntled with how the treatment is going.",negative,Additional Negative Terms
1401,My recovery has been elastic and strengthening so far.,positive,Additional Positive Terms
1402,I feel working and protected about the information I received.,positive,Treatment Response
1403,The path to recovery feels doubtful and uneducated.,negative,Additional Negative Terms
1404,I'm feeling elevated about continuing this course of treatment.,negative,Worsening Condition
1405,"I do not have vague, costly and exacerbated in my healthcare team.",negative,Worsening Condition
1406,The communication with the clinic has been unresponsive.,negative,Additional Negative Terms
1407,The communication with the clinic has been soothing and spirited.,positive,Additional Positive Terms
1408,I found the doctor's explanation very regulated.,positive,Additional Positive Terms
1409,I've been dealing with a validated and understandable feeling in my joints.,positive,Trust in Healthcare
1410,"I've been dealing with a crippled, prevented and paralyzed feeling in my joints.",negative,Limitations
1411,The treatment plan seems to be drained.,negative,Physical Symptoms
1412,"The treatment plan seems to be worthless, disturbed and frail.",negative,Depression and Hopelessness
1413,I am not seeing aftereffect and opaque signs of progress.,negative,Side Effects
1414,My recovery has been carefree and adaptive so far.,positive,Comfort
1415,I'm noticing needy changes in my daily life.,negative,Financial Concerns
1416,I feel protected and animated today.,positive,Trust in Healthcare
1417,"I'm seeing sequela, hurting and unfavorable signs of progress.",negative,Side Effects
1418,I'm finding the new medication serious.,negative,Additional Negative Terms
1419,"I was hoping to feel destitute, but instead, I feel exasperated.",negative,Additional Negative Terms
1420,"My mood has been excessive, handicapped and misconceived since starting the new regimen.",negative,Limitations
1421,"I've been dealing with a recognized, bearable and polite feeling in my joints.",positive,Clarity
